epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,1.0397651170790594,0.6117804551539491,1.3689322962480432,0.38235294117647056,0.28667953667953666,0.2908244378832614,0.3888888888888889,"[[0 0 8 0]
 [0 5 4 0]
 [0 0 8 0]
 [0 0 9 0]]",0.0009999753262144805
2,0.4645356523543796,0.85809906291834,0.9696711424519034,0.47058823529411764,0.3290322580645161,0.3332068311195446,0.4722222222222222,"[[0 3 5 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 9 0]]",0.0009999013075636806
3,0.21364313488703973,0.9477911646586346,0.4494341173592736,0.8235294117647058,0.798425430778372,0.8032050609905281,0.8159722222222222,"[[3 4 1 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 1 8]]",0.0009997779521645793
4,0.13152481992560697,0.965194109772423,1.1555776806438671,0.47058823529411764,0.4477272727272727,0.44197860962566843,0.4652777777777778,"[[3 5 0 0]
 [0 9 0 0]
 [0 5 3 0]
 [0 8 0 1]]",0.0009996052735444863
5,0.097349516344238,0.9732262382864793,0.17928162699236588,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009993832906395582
6,0.06442928467309937,0.9866131191432396,0.22133813097196467,0.8823529411764706,0.8811145510835914,0.8846476051720998,0.8819444444444444,"[[8 0 0 0]
 [1 8 0 0]
 [2 0 6 0]
 [0 0 1 8]]",0.000999112027792722
7,0.05408774486616992,0.9799196787148594,0.11855923778870527,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009987915147510059
8,0.043672951000681526,0.9906291834002677,0.12021142463473712,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009984217866622768
9,0.029143052008576503,0.9973226238286479,0.2038091342238819,0.9117647058823529,0.911764705882353,0.9134948096885814,0.9131944444444444,"[[8 0 0 0]
 [0 8 1 0]
 [1 0 7 0]
 [0 0 1 8]]",0.0009980028840713858
10,0.03368306179921152,0.9919678714859438,0.05341478568666121,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009975348529157226
11,0.02109004520478258,0.9946452476572959,0.14822722182554357,0.9117647058823529,0.9013720197930724,0.9056256780714985,0.90625,"[[8 0 0 0]
 [0 9 0 0]
 [2 0 5 1]
 [0 0 0 9]]",0.000997017744520178
12,0.018276380803909805,0.9973226238286479,0.14711228363654194,0.9411764705882353,0.9365079365079365,0.9402427637721755,0.9375,"[[8 0 0 0]
 [0 9 0 0]
 [2 0 6 0]
 [0 0 0 9]]",0.0009964516155915146
13,0.019008827232412866,0.9973226238286479,0.1380273739204687,0.9117647058823529,0.9119047619047619,0.9128851540616246,0.90625,"[[6 2 0 0]
 [0 9 0 0]
 [0 1 7 0]
 [0 0 0 9]]",0.000995836528212149
14,0.01610665152988919,0.9959839357429718,0.20987419588217401,0.9117647058823529,0.9145704334365325,0.9141891276634492,0.9166666666666666,"[[8 0 0 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 2 7]]",0.0009951725498333441
15,0.014331064255249847,0.9973226238286479,0.13608090776730986,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9722222222222222,"[[8 0 0 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009944597532678112
16,0.008418327553068079,1.0,0.03335540960816776,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009936982166817265
17,0.007958029845662146,1.0,0.06736879839616663,0.9705882352941176,0.9701754385964914,0.9703818369453046,0.96875,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 7 1]
 [0 0 0 9]]",0.000992888023586158
18,0.009656223694144324,0.998661311914324,0.026512451908167672,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009920292628279091
19,0.006824945614559743,0.998661311914324,0.07508498808259473,0.9705882352941176,0.9705882352941178,0.9705882352941176,0.9722222222222222,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 1 8]]",0.000991122028579774
20,0.005723533233368353,1.0,0.045149852247799147,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009901664203302116
21,0.005157999245517225,1.0,0.08267301145721884,0.9705882352941176,0.9686274509803922,0.9704728950403692,0.96875,"[[8 0 0 0]
 [0 9 0 0]
 [1 0 7 0]
 [0 0 0 9]]",0.0009891625428724354
22,0.008356212384604825,0.9973226238286479,0.15497557090266662,0.9411764705882353,0.9428104575163399,0.942714340638216,0.9444444444444444,"[[8 0 0 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 1 8]]",0.0009881105062929212
