epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,0.6326304549940515,0.7837630839928517,0.7774460175458122,0.7450980392156863,0.7416486291486292,0.7465516509634158,0.7430555555555557,"[[6 0 2 1 0 0]
 [0 7 0 0 0 2]
 [0 0 4 4 0 0]
 [0 0 0 8 0 0]
 [0 0 1 1 5 1]
 [0 0 0 0 1 8]]",0.0009999753262144805
2,0.1751478487263841,0.9461322440643349,1.6448619996800142,0.45098039215686275,0.3028699695366362,0.30948136830489775,0.4444444444444444,"[[7 1 0 1 0 0]
 [0 8 0 1 0 0]
 [0 0 0 8 0 0]
 [0 0 0 8 0 0]
 [4 2 0 2 0 0]
 [7 2 0 0 0 0]]",0.0009999013075636806
3,0.12059394218824578,0.9611947919326015,0.29438117234145894,0.8627450980392157,0.8571066704193641,0.8576977202364201,0.8587962962962963,"[[8 0 0 0 0 1]
 [0 8 0 0 0 1]
 [0 0 7 1 0 0]
 [0 0 0 8 0 0]
 [2 0 0 0 4 2]
 [0 0 0 0 0 9]]",0.0009997779521645793
4,0.09305316775672011,0.9714066887924432,0.46692351850808833,0.803921568627451,0.782682850918145,0.7866439647754526,0.7962962962962963,"[[9 0 0 0 0 0]
 [1 8 0 0 0 0]
 [0 0 6 2 0 0]
 [0 0 0 8 0 0]
 [5 0 0 0 2 1]
 [1 0 0 0 0 8]]",0.0009996052735444863
5,0.07375484364968433,0.9754914475363798,0.19393170288964814,0.9215686274509803,0.920751633986928,0.9222991157247213,0.9189814814814815,"[[9 0 0 0 0 0]
 [0 9 0 0 0 0]
 [0 0 7 0 1 0]
 [0 0 0 8 0 0]
 [2 0 0 0 6 0]
 [0 0 0 0 1 8]]",0.0009993832906395582
6,0.06376322361890047,0.9785550165943324,0.2827244687314127,0.9019607843137255,0.9013071895424837,0.9016019479687299,0.9027777777777777,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 1 0 6 0]
 [0 0 0 0 1 8]]",0.000999112027792722
7,0.05220880838589425,0.9839162624457493,0.31415442041322295,0.9215686274509803,0.924389404884761,0.9212489123616423,0.923611111111111,"[[7 2 0 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 0 0 7 0]
 [0 0 0 0 0 9]]",0.0009987915147510059
8,0.04549566213158524,0.9854480469747255,0.4992776565692004,0.8431372549019608,0.8399738032864966,0.8392553782646663,0.8425925925925926,"[[7 0 0 1 0 1]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [4 0 0 0 4 0]
 [0 0 0 0 1 8]]",0.0009984217866622768
9,0.03639780861064735,0.988256318611182,0.14299987351485327,0.9411764705882353,0.9419905974085542,0.9410388716890266,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 0 0 7 0]
 [0 0 0 0 0 9]]",0.0009980028840713858
10,0.03300017267377619,0.9913198876691346,0.205896378001746,0.9215686274509803,0.9201146247972875,0.9193700080651456,0.9212962962962963,"[[9 0 0 0 0 0]
 [0 7 0 0 0 2]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 1 0 6 0]
 [0 0 0 0 0 9]]",0.0009975348529157226
11,0.026467329268252206,0.9928516721981108,0.3224780889702778,0.9019607843137255,0.9025707651481646,0.9007941566719567,0.9027777777777777,"[[8 0 1 0 0 0]
 [0 7 0 0 0 2]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [2 0 0 0 6 0]
 [0 0 0 0 0 9]]",0.000997017744520178
12,0.025746014373857724,0.9925963747766148,0.28785522165251715,0.9215686274509803,0.9230664488017429,0.9220267845700373,0.923611111111111,"[[7 0 1 0 0 1]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.0009964516155915146
13,0.015155795345809011,0.9948940515700792,0.2712509097421871,0.9019607843137255,0.9022245155372092,0.899805068226121,0.9074074074074074,"[[6 0 1 0 1 1]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 0 0 8 0]
 [0 0 0 0 1 8]]",0.000995836528212149
14,0.012855320580908542,0.9959152412560633,0.26600483395889696,0.9411764705882353,0.9419905974085542,0.9420641183890137,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.0009951725498333441
15,0.013616636340768628,0.9964258360990554,0.41800761339711207,0.9215686274509803,0.9225217864923749,0.9212962962962964,0.9259259259259259,"[[7 0 1 0 1 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 0 0 8 0]
 [0 0 0 0 1 8]]",0.0009944597532678112
16,0.014091309983490612,0.9964258360990554,0.21890174765505044,0.9019607843137255,0.9071152703505646,0.9041120548040963,0.9050925925925926,"[[7 0 1 0 0 1]
 [0 7 0 0 0 2]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 0 0 7 1]
 [0 0 0 0 0 9]]",0.0009936982166817265
17,0.00706874313525321,0.9987235128925198,0.21324927272165523,0.9411764705882353,0.9419905974085542,0.9420641183890137,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.000992888023586158
18,0.011740125666024986,0.9959152412560633,0.28272468918094446,0.9411764705882353,0.9419905974085542,0.9420641183890137,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.0009920292628279091
19,0.014742982384071367,0.9961705386775593,0.3012704843399571,0.9215686274509803,0.9225217864923746,0.9225938741509676,0.923611111111111,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 1 8]]",0.000991122028579774
20,0.006817098149314346,0.9984682154710237,0.21142155399509505,0.9411764705882353,0.9419905974085542,0.9420641183890137,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.0009901664203302116
21,0.010328592803164697,0.9964258360990554,0.23921641181497014,0.9411764705882353,0.9419905974085542,0.9410388716890266,0.9421296296296297,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 0 0 7 0]
 [0 0 0 0 0 9]]",0.0009891625428724354
22,0.007200299487690559,0.9992341077355119,0.26670895867487965,0.9215686274509803,0.9225217864923749,0.9212962962962964,0.9259259259259259,"[[7 0 1 0 1 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 0 0 8 0]
 [0 0 0 0 1 8]]",0.0009881105062929212
23,0.006610019547393546,0.9987235128925198,0.28302819851566763,0.9411764705882353,0.9409479581306207,0.9402754290570717,0.9398148148148149,"[[9 0 0 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [2 0 0 0 6 0]
 [0 0 0 0 0 9]]",0.0009870104259593353
24,0.007391564181620882,0.9984682154710237,0.23665832972847947,0.9411764705882353,0.9428921568627452,0.9406862745098039,0.9444444444444443,"[[8 0 1 0 0 0]
 [0 7 0 0 0 2]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 0 0 8 0]
 [0 0 0 0 0 9]]",0.000985862422507883
