epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,1.5063986044663649,0.3136094674556213,1.606364976528079,0.18604651162790697,0.0627450980392157,0.05836753305973553,0.2,"[[0 0 8 0 0]
 [0 0 9 0 0]
 [0 0 8 0 0]
 [0 0 9 0 0]
 [0 0 9 0 0]]",0.0009999753262144805
2,1.088460827720236,0.6627218934911243,1.5857856550882028,0.27906976744186046,0.18666666666666665,0.17829457364341084,0.2972222222222222,"[[8 0 0 0 0]
 [6 0 3 0 0]
 [5 0 3 0 0]
 [9 0 0 0 0]
 [4 0 4 0 1]]",0.0009999013075636806
3,0.8216611859361096,0.7337278106508875,1.4884484008301135,0.3953488372093023,0.29846390168970816,0.28926874575786804,0.4138888888888889,"[[8 0 0 0 0]
 [0 0 6 0 3]
 [3 0 5 0 0]
 [9 0 0 0 0]
 [3 0 2 0 4]]",0.0009997779521645793
4,0.7264450749702002,0.757396449704142,1.2473972592242928,0.6976744186046512,0.6805429864253394,0.677312427654425,0.7083333333333333,"[[8 0 0 0 0]
 [0 3 3 0 3]
 [1 0 7 0 0]
 [0 0 1 8 0]
 [3 1 1 0 4]]",0.0009996052735444863
5,0.6178595462494348,0.7692307692307693,1.0236787712851236,0.6744186046511628,0.648235294117647,0.644981967416988,0.6861111111111111,"[[8 0 0 0 0]
 [0 2 4 0 3]
 [1 0 7 0 0]
 [0 0 1 8 0]
 [3 0 2 0 4]]",0.0009993832906395582
6,0.427742605554987,0.8579881656804734,0.7159354464952336,0.8372093023255814,0.8396901344269766,0.8355561207458394,0.8388888888888889,"[[8 0 0 0 0]
 [0 5 0 0 4]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.000999112027792722
7,0.3807727253648656,0.8816568047337278,0.5552213898924894,0.8837209302325582,0.8828070175438596,0.8820073439412485,0.8833333333333334,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 1 0 7]]",0.0009987915147510059
8,0.3595932031700597,0.8579881656804734,0.4404084793356962,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009984217866622768
9,0.32688581238131553,0.8757396449704142,0.4036789675091588,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009980028840713858
10,0.29212331736581565,0.9053254437869822,0.3764115752175797,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009975348529157226
11,0.2544630593096716,0.8994082840236687,0.4230707689773205,0.8837209302325582,0.8777539625836839,0.8788028157313204,0.8805555555555555,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [1 0 5 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.000997017744520178
12,0.23199453879390242,0.9289940828402367,0.42826574763586356,0.8604651162790697,0.8578947368421053,0.8570991432068544,0.861111111111111,"[[8 0 0 0 0]
 [0 6 2 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009964516155915146
13,0.21436089894475316,0.9349112426035503,0.39674269321352934,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.000995836528212149
14,0.2321955778101492,0.8994082840236687,0.4661374189132868,0.8604651162790697,0.8604066727905737,0.859280686194071,0.8583333333333332,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 5 1 2]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009951725498333441
15,0.1732901407945791,0.9467455621301775,0.4056793867155563,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009944597532678112
16,0.13766215970883003,0.9467455621301775,0.42525892895321515,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009936982166817265
17,0.16113415360450745,0.9585798816568047,0.4723154583642649,0.8837209302325582,0.8810976158344579,0.8809339986818566,0.8805555555555555,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 5 1 2]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.000992888023586158
18,0.153546853244481,0.9349112426035503,0.4087253420851951,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009920292628279091
19,0.14511858112007908,0.9408284023668639,0.4583494912746341,0.9069767441860465,0.9071010860484545,0.9061024654659906,0.9055555555555556,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 6 1 1]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.000991122028579774
20,0.15752690201680336,0.9585798816568047,0.49450944606647934,0.8837209302325582,0.8810976158344579,0.8809339986818566,0.8805555555555555,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 5 1 2]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009901664203302116
