epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,1.1100870809406813,0.5673575129533679,1.67946345861568,0.23255813953488372,0.1453061224489796,0.1351684859990508,0.25,"[[2 0 6 0 0]
 [0 0 9 0 0]
 [0 0 8 0 0]
 [0 0 9 0 0]
 [0 0 9 0 0]]",0.0009999753262144805
2,0.4459005890732602,0.8730569948186528,1.1386827064114948,0.5116279069767442,0.43712494402149576,0.43269040502400563,0.5166666666666666,"[[3 0 4 0 1]
 [0 0 1 0 8]
 [0 0 7 0 1]
 [3 0 2 3 1]
 [0 0 0 0 9]]",0.0009999013075636806
3,0.18765179697096038,0.9650259067357513,0.3404210417769676,0.9302325581395349,0.9292483660130719,0.9314485484116127,0.9305555555555556,"[[7 0 1 0 0]
 [0 8 1 0 0]
 [0 0 8 0 0]
 [1 0 0 8 0]
 [0 0 0 0 9]]",0.0009997779521645793
4,0.09202799332265409,0.9857512953367875,0.38657279208649037,0.9069767441860465,0.9080952380952381,0.9053709856035438,0.9083333333333332,"[[8 0 0 0 0]
 [0 6 0 0 3]
 [0 1 7 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009996052735444863
5,0.06966962750248341,0.9883419689119171,0.7977206388185191,0.7674418604651163,0.7673123986436681,0.7661307852394326,0.7749999999999999,"[[8 0 0 0 0]
 [0 7 2 0 0]
 [0 1 7 0 0]
 [4 0 0 5 0]
 [1 2 0 0 6]]",0.0009993832906395582
6,0.05355681409489923,0.9909326424870466,0.2151858536309974,0.9302325581395349,0.9291795665634675,0.9301605587155303,0.9305555555555556,"[[7 0 1 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [1 0 0 8 0]
 [0 1 0 0 8]]",0.000999112027792722
7,0.04566451343538848,0.9857512953367875,0.16528499126434326,0.9534883720930233,0.9503759398496241,0.9513901031648891,0.95,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 1 6 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009987915147510059
8,0.03031775455709566,0.9974093264248705,0.21115742311921232,0.9069767441860465,0.907563025210084,0.9065858901700214,0.9055555555555556,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 1 6 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009984217866622768
9,0.02072394337176968,0.9974093264248705,0.08691104830697526,0.9534883720930233,0.9526797385620915,0.9546131630946953,0.9527777777777778,"[[7 0 1 0 0]
 [0 8 1 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009980028840713858
10,0.016541881438518435,0.9987046632124352,0.11716068830601005,0.9534883720930233,0.9526797385620915,0.9546131630946953,0.9527777777777778,"[[7 0 1 0 0]
 [0 8 1 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009975348529157226
11,0.02269072757329348,0.9961139896373057,0.09549527944520463,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000997017744520178
12,0.018899539543479834,0.9987046632124352,0.18711060978645502,0.9302325581395349,0.9269153275345225,0.929422278907483,0.9277777777777778,"[[6 0 2 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 1 0 0 8]]",0.0009964516155915146
13,0.021675460571374917,0.9909326424870466,0.08364875995835593,0.9767441860465116,0.9749019607843138,0.9766529867761059,0.975,"[[7 0 1 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000995836528212149
14,0.03221246342469065,0.9909326424870466,0.7871815576109775,0.7674418604651163,0.7595238095238095,0.7586747877445552,0.7666666666666666,"[[8 0 0 0 0]
 [0 5 0 0 4]
 [0 0 4 2 2]
 [2 0 0 7 0]
 [0 0 0 0 9]]",0.0009951725498333441
15,0.02267084310284859,0.9961139896373057,0.062057149618170986,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009944597532678112
16,0.01727804333125989,0.9961139896373057,0.06217136632564456,0.9767441860465116,0.9749019607843138,0.9766529867761059,0.975,"[[7 0 1 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009936982166817265
17,0.016229248784212252,0.9974093264248705,0.10744925986888797,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000992888023586158
18,0.009423153716202226,1.0,0.045377903552942495,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009920292628279091
19,0.007700692394198222,1.0,0.09051484424014423,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000991122028579774
20,0.013754290243890618,0.9961139896373057,0.15019034784893656,0.9534883720930233,0.9539181286549707,0.9533251733986129,0.9527777777777778,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 1 7 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009901664203302116
21,0.01038965844389997,0.9974093264248705,0.13114661047624987,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009891625428724354
22,0.009670893574818738,0.9987046632124352,0.17345352713451828,0.9534883720930233,0.9527089783281735,0.9518773849809202,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 1 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009881105062929212
23,0.006843307142392033,1.0,0.0793752178203228,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009870104259593353
24,0.0059630885440373664,1.0,0.17054333589797796,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000985862422507883
25,0.005053275105557911,1.0,0.13128384098757145,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009846666218300795
26,0.007506452705904146,0.9987046632124352,0.12689963277689245,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000983423155058945
