epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,0.9664366897845666,0.6191198786039454,1.5447780945721794,0.2647058823529412,0.10975609756097561,0.11621233859397417,0.25,"[[0 7 1 0]
 [0 9 0 0]
 [0 8 0 0]
 [0 8 1 0]]",0.0009999753262144805
2,0.36123114846906823,0.8952959028831563,0.8332988164004158,0.5882352941176471,0.5345117845117845,0.5324816795405031,0.59375,"[[3 3 2 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 8 1]]",0.0009999013075636806
3,0.14728111713808115,0.9666160849772383,0.5471014152554905,0.8529411764705882,0.8418003565062389,0.8440285204991087,0.8472222222222222,"[[4 3 1 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 1 0 8]]",0.0009997779521645793
4,0.09647278154158628,0.9848254931714719,0.3333667393992929,0.9117647058823529,0.9026018099547511,0.9053899387809423,0.90625,"[[5 2 1 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009996052735444863
5,0.0845691093013301,0.9817905918057663,0.49006985916810875,0.8235294117647058,0.8139471639471639,0.8162758809817634,0.8159722222222222,"[[4 3 0 1]
 [0 9 0 0]
 [1 0 7 0]
 [0 1 0 8]]",0.0009993832906395582
6,0.0626550667180096,0.9878603945371776,0.37267202752477985,0.8235294117647058,0.8124871001031992,0.8171432040308384,0.8194444444444444,"[[4 2 2 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 1 8]]",0.000999112027792722
7,0.03873450303385218,0.992412746585736,0.1911459295079112,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009987915147510059
8,0.03103370357966206,0.9969650986342944,0.14441918636507847,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009984217866622768
9,0.03899959024545003,0.9939301972685888,0.23637005862067728,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009980028840713858
10,0.02997307179775513,0.9969650986342944,0.18624923685017755,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009975348529157226
11,0.024554986540618183,0.9969650986342944,0.1382584276006502,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.000997017744520178
12,0.02159167808086268,0.9939301972685888,0.14410545926212387,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009964516155915146
13,0.022132187958789795,0.9984825493171472,0.16042990599046736,0.9117647058823529,0.9083333333333333,0.9107843137254903,0.90625,"[[6 2 0 0]
 [0 9 0 0]
 [1 0 7 0]
 [0 0 0 9]]",0.000995836528212149
14,0.01406490516584587,1.0,0.14724607546539867,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009951725498333441
15,0.015489968288921623,1.0,0.18604149143485463,0.9411764705882353,0.9392857142857143,0.9399159663865546,0.9375,"[[6 2 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009944597532678112
16,0.011123643006581096,1.0,0.08653662145576056,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009936982166817265
17,0.008662942910004459,1.0,0.1044851659304079,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.000992888023586158
18,0.013638484171607245,0.9984825493171472,0.11965399366967819,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009920292628279091
19,0.007287646101134772,1.0,0.10465600659303806,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.000991122028579774
20,0.010231853108740042,1.0,0.09647468395312042,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009901664203302116
21,0.006063274790466465,1.0,0.09102107363972156,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009891625428724354
22,0.007125309350503233,1.0,0.05695320460397531,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009881105062929212
23,0.009108302210300755,1.0,0.062301836798296255,1.0,1.0,1.0,1.0,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009870104259593353
24,0.006232727463152231,1.0,0.08777141379302039,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.000985862422507883
25,0.005157934895353406,1.0,0.10912205645924106,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009846666218300795
26,0.006219476488262008,1.0,0.11914572996251724,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.000983423155058945
27,0.004732866457780775,1.0,0.09639482512412702,0.9705882352941176,0.9701754385964912,0.9703818369453046,0.96875,"[[7 1 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 0 9]]",0.0009821321585546231
